Classical;Basal;Normal_Stroma;Activated_Stroma
LGALS9C;OVOS2;LL22NC03-75B3.6;LOC441768
LGR5;OXR1;LMO3;LOC541471
LGR6;P2RY2;LMOD1;LOC641518
LIMA1;PABPC3;LOC100127983;LOC642413
LIPH;PADI1;LOC100128098;LOC651721
LLGL2;PAEP;LOC100128239;LOC731724
LMO4;PAK6;LOC100128252;LOH3CR2A
LMO7;PARP4;LOC100129788;LOX
LMTK3;PCDH11X;LOC100130868;LOXL1
LNX1;PDCL2;LOC100130890;LOXL2
LOC100128008;PERP;LOC100131720;LOXL3
LOC100128116;PFKP;LOC100132317;LPAR4
LOC100128893;PHACTR3;LOC100190890;LPPR4
LOC100128918;PHLDA1;LOC123688;LRP1
LOC100128979;PHLDA3;LOC199800;LRP12
LOC100130193;PIGA;LOC283481;LRRC15
LOC100130623;PIGG;LOC284112;LRRC17
LOC100130741;PIWIL1;LOC285550;LRRC25
LOC100131642;PJA1;LOC339260;LRRC32
LOC100133019;PKD1L2;LOC339524;LRRC8C
LOC120376;PKIB;LOC375196;LRRN2
LOC124220;PLA2G16;LOC389895;LST1
LOC129293;PLAG1;LOC399959;LTBP1
LOC149501;PLCD3;LOC400236;LTBP2
LOC151162;PLEK2;LOC400456;LUM
LOC158402;PLEKHA5;LOC400642;LUZP1
LOC255411;PLEKHA7;LOC401021;LUZP2
LOC25845;PLEKHF2;LOC492311;LXN
LOC283278;PLEKHG3;LOC54492;LZTS1
LOC284422;PLEKHG5;LOC572558;MAEL
LOC286126;PLSCR1;LOC63920;MAF
LOC339843;PMAIP1;LOC643837;MAFB
LOC340888;PMEPA1;LOC644538;MAGED2
LOC388242;PODXL;LOC644662;MAML2
LOC388564;PON2;LOC645166;MANBA
LOC389857;PPFIA1;LOC645323;MAP3K12
LOC392335;PPL;LOC646609;MAP4K4
LOC400573;PPM2C;LOC648795;MAP4K5
LOC400655;PPP1R13L;LOC728142;MARCKS
LOC400831;PPP1R14C;LOC728264;MATN3
LOC401913;PPP1R15B;LOC729085;MCL1
LOC440335;PPP1R1C;LOC729970;MCTP1
LOC441294;PPP1R2;LOC92973;MEGF6
LOC553158;PPP4R1;LOH12CR2;MEIS3
LOC57228;PRAGMIN;LONRF1;MEST
LOC643100;PRB1;LPAR1;METRNL
LOC644950;PRB2;LPHN3;MEX3B
LOC646090;PRDM13;LPL;MFAP2
LOC647954;PRKAA1;LPP;MFAP5
LOC728199;PRKCI;LRCH2;MFSD1
LOC730102;PRKG2;LRFN5;MFSD7
LOC730405;PRO1880;LRP11;MGC24103
LPAR5;PROM2;LRRC4C;MGC4294
LPCAT4;PRPF3;LRRCC1;MICAL2
LRBA;PRRG4;LSAMP;MKL1
LRCH1;PRSS22;LY6H;MMD
LRRC1;PRSS27;MAB21L1;MMP11
LRRC16A;PSCA;MAFF;MMP12
LRRC19;PSD3;MAL;MMP16
LRRC31;PSPC1;MAMDC2;MMP19
LRRC8E;PTGES;MAOA;MMP2
LSR;PTHLH;MAOB;MMP23B
LY75;PTK6;MAP1B;MMP3
LYPD6;PTPRJ;MAPK10;MMP7
LYPD6B;PVRL1;MARK1;MMP9
LYSMD4;PVRL4;MATN2;MN1
LYZ;QRFPR;MCAM;MNDA
LYZL4;RAB38;MCC;MOXD1
MACC1;RAC1;MDGA1;MPP1
MAL2;RAET1E;MDP-1;MR1
MANSC1;RAG1;ME3;MRC1L1
MAP3K13;RALB;MEIS3P1;MRC2
MAP7;RALGPS2;MEOX2;MRVI1
MAPRE2;RASA1;MFAP4;MS4A2
MARCKSL1;RBM41;MGC16169;MS4A4A
MARVELD2;RBM8A;MGC3032;MS4A7
MARVELD3;RCE1;MGC42105;MSC
MBOAT1;REEP3;MGP;MSN
MDK;REM2;MID1;MSR1
MDS1;RGS20;MID2;MST150
